ID,ACC
AFFX-Os-actin-3_s_at,AFFX-Os-actin-3_s_at
AFFX-Os-actin-M_s_at,AFFX-Os-actin-M_s_at
AFFX-Os_Actin_M_s_at,AFFX-Os_Actin_M_s_at
AFFX-Os_Cyph_3_at,AFFX-Os_Cyph_3_at
AFFX-Os_Cyph_5_at,AFFX-Os_Cyph_5_at
AFFX-Os_Cyph_M_at,AFFX-Os_Cyph_M_at
AFFX-Os_Gapdh_M_at,AFFX-Os_Gapdh_M_at
AFFX-Os_Ubiquitin_3_s_at,AFFX-Os_Ubiquitin_3_s_at
Os.10026.1.S1_at,Os.10026.1.S1_at
Os.10027.1.S1_at,Os.10027.1.S1_at
Os.10028.2.S1_at,Os.10028.2.S1_at
Os.10029.1.S1_at,Os.10029.1.S1_at
Os.10032.1.S1_at,Os.10032.1.S1_at
Os.10075.1.S1_at,Os.10075.1.S1_at
Os.10077.1.S1_at,Os.10077.1.S1_at
Os.10084.2.A1_at,Os.10084.2.A1_at
Os.10086.1.S1_at,Os.10086.1.S1_at
Os.10091.1.S1_at,Os.10091.1.S1_at
Os.10099.2.S1_at,Os.10099.2.S1_at
Os.10101.1.S1_at,Os.10101.1.S1_at
Os.10102.1.S1_at,Os.10102.1.S1_at
Os.10108.1.S1_at,Os.10108.1.S1_at
Os.10115.1.S1_at,Os.10115.1.S1_at
Os.10128.2.A1_at,Os.10128.2.A1_at
Os.10131.4.A1_at,Os.10131.4.A1_at
Os.10167.1.S1_at,Os.10167.1.S1_at
Os.10171.1.S1_at,Os.10171.1.S1_at
Os.10180.1.S1_at,Os.10180.1.S1_at
Os.10196.1.S1_at,Os.10196.1.S1_at
Os.10201.1.S1_at,Os.10201.1.S1_at
Os.10206.1.S1_at,Os.10206.1.S1_at
Os.10215.2.A1_at,Os.10215.2.A1_at
Os.10225.1.S1_at,Os.10225.1.S1_at
Os.10246.2.S1_at,Os.10246.2.S1_at
Os.10251.1.S1_at,Os.10251.1.S1_at
Os.10254.1.S1_at,Os.10254.1.S1_at
Os.10266.1.S1_at,Os.10266.1.S1_at
Os.10273.1.S1_at,Os.10273.1.S1_at
Os.10278.1.S1_at,Os.10278.1.S1_at
Os.10281.2.S1_at,Os.10281.2.S1_at
Os.10285.1.S1_at,Os.10285.1.S1_at
Os.10300.1.S1_at,Os.10300.1.S1_at
Os.10319.1.S1_at,Os.10319.1.S1_at
Os.10324.1.S1_at,Os.10324.1.S1_at
Os.10324.2.S1_at,Os.10324.2.S1_at
Os.10328.1.S1_at,Os.10328.1.S1_at
Os.10335.1.S1_at,Os.10335.1.S1_at
Os.10338.1.S1_x_at,Os.10338.1.S1_x_at
Os.10351.2.S1_at,Os.10351.2.S1_at
Os.10374.1.S1_at,Os.10374.1.S1_at
Os.10374.2.S1_at,Os.10374.2.S1_at
Os.10379.1.S1_at,Os.10379.1.S1_at
Os.10380.1.S1_at,Os.10380.1.S1_at
Os.10394.1.S1_at,Os.10394.1.S1_at
Os.10394.2.S1_at,Os.10394.2.S1_at
Os.10409.1.A1_at,Os.10409.1.A1_at
Os.10416.1.S1_at,Os.10416.1.S1_at
Os.10422.1.S1_at,Os.10422.1.S1_at
Os.10441.1.S1_at,Os.10441.1.S1_at
Os.10442.1.S1_at,Os.10442.1.S1_at
Os.10482.1.S1_at,Os.10482.1.S1_at
Os.10494.1.S1_at,Os.10494.1.S1_at
Os.10498.1.S1_at,Os.10498.1.S1_at
Os.10503.1.S1_at,Os.10503.1.S1_at
Os.10505.1.S2_a_at,Os.10505.1.S2_a_at
