ID,ACC
Os01g0100100|COMBINER_EST|CI448596|0,Os01g0100100
Os01g0100200|mRNA|AK059894|CDS+3'UTR,Os01g0100200
Os01g0100400|mRNA|AK101455|CDS+3'UTR,Os01g0100400
Os01g0100500|mRNA|AK067316|CDS+3'UTR,Os01g0100500
Os01g0100600|mRNA|AK121362|CDS+3'UTR,Os01g0100600
Os01g0100700|mRNA|AK059844|CDS+3'UTR,Os01g0100700
Os01g0100700|mRNA|AK121523|CDS+3'UTR,Os01g0100700
Os01g0100800|mRNA|AK122012|CDS+3'UTR,Os01g0100800
Os01g0100900|COMBINER_EST|CI015509|0,Os01g0100900
Os01g0101200|mRNA|AK067866|CDS+3'UTR,Os01g0101200
Os01g0101200|mRNA|AK104517|CDS+3'UTR,Os01g0101200
Os01g0101200|mRNA|AK104625|CDS+3'UTR,Os01g0101200
Os01g0101200|mRNA|AK104752|CDS+3'UTR,Os01g0101200
Os01g0101200|mRNA|AK119457|CDS+3'UTR,Os01g0101200
Os01g0101300|COMBINER_EST|CI016681|6,Os01g0101300
Os01g0101600|mRNA|AK099952|CDS+3'UTR,Os01g0101600
Os01g0101600|mRNA|AK103820|CDS+3'UTR,Os01g0101600
Os01g0101600|mRNA|AK122118|CDS+3'UTR,Os01g0101600
Os01g0101700|COMBINER_EST|CI525185|3,Os01g0101700
Os01g0101800|mRNA|AK103498|CDS+3'UTR,Os01g0101800
Os01g0102000|mRNA|AK101065|CDS+3'UTR,Os01g0102000
Os01g0102300|mRNA|AK067320|CDS+3'UTR,Os01g0102300
Os01g0102400|COMBINER_EST|CI453282|0,Os01g0102400
Os01g0102500|mRNA|AK100002|CDS+3'UTR,Os01g0102500
Os01g0102600|mRNA|AK062086|CDS+3'UTR,Os01g0102600
Os01g0102600|mRNA|AK064812|CDS+3'UTR,Os01g0102600
Os01g0102700|mRNA|AK063774|CDS+3'UTR,Os01g0102700
Os01g0102700|mRNA|AK099081|CDS+3'UTR,Os01g0102700
Os01g0102700|mRNA|AK099360|CDS+3'UTR,Os01g0102700
Os01g0102800|mRNA|AB111944|CDS,Os01g0102800
Os01g0102800|mRNA|AK064456|CDS+3'UTR,Os01g0102800
Os01g0102900|mRNA|AK067670|CDS+3'UTR,Os01g0102900
Os01g0102900|mRNA|AK120535|CDS+3'UTR,Os01g0102900
Os01g0102900|mRNA|X68807|CDS+3'UTR,Os01g0102900
Os01g0103000|mRNA|AK066123|5'UTR+CDS,Os01g0103000
Os01g0103000|mRNA|AK068676|5'UTR+CDS,Os01g0103000
Os01g0103000|mRNA|AK108287|CDS+3'UTR,Os01g0103000
Os01g0103100|mRNA|AK058723|CDS+3'UTR,Os01g0103100
Os01g0103100|mRNA|AK070557|CDS+3'UTR,Os01g0103100
Os01g0103400|mRNA|AK109199|UTR,Os01g0103400
Os01g0103500|COMBINER_EST|Os01g0103500|8,Os01g0103500
Os01g0103600|mRNA|AK059848|CDS+3'UTR,Os01g0103600
Os01g0103600|mRNA|AK102848|CDS+3'UTR,Os01g0103600
Os01g0103700|mRNA|AK070525|CDS+3'UTR,Os01g0103700
Os01g0103800|mRNA|AK102782|CDS+3'UTR,Os01g0103800
Os01g0103900|mRNA|AK069975|CDS+3'UTR,Os01g0103900
Os01g0104000|mRNA|AK072087|CDS+3'UTR,Os01g0104000
Os01g0104000|mRNA|AK103808|CDS+3'UTR,Os01g0104000
Os01g0104100|mRNA|AK072797|CDS+3'UTR,Os01g0104100
Os01g0104100|mRNA|AK104280|CDS+3'UTR,Os01g0104100
Os01g0104200|COMBINER_EST|CI078025|0,Os01g0104200
Os01g0104400|mRNA|AK060132|CDS+3'UTR,Os01g0104400
Os01g0104400|mRNA|AK071375|CDS+3'UTR,Os01g0104400
Os01g0104400|mRNA|AK104555|CDS+3'UTR,Os01g0104400
Os01g0104400|mRNA|AK104820|CDS+3'UTR,Os01g0104400
Os01g0104500|COMBINER_EST|CI450272|0,Os01g0104500
Os01g0104600|mRNA|AK058683|CDS+3'UTR,Os01g0104600
Os01g0104600|mRNA|AK100613|CDS+3'UTR,Os01g0104600
Os01g0104800|mRNA|AK067602|CDS+3'UTR,Os01g0104800
Os01g0104800|mRNA|AK103287|CDS+3'UTR,Os01g0104800
Os01g0104900|mRNA|AK071797|CDS+3'UTR,Os01g0104900
Os01g0104900|mRNA|AK121535|CDS+3'UTR,Os01g0104900
Os01g0105300|mRNA|AK072732|CDS+3'UTR,Os01g0105300
Os01g0105400|mRNA|AK106913|CDS+3'UTR,Os01g0105400
Os01g0105500|COMBINER|CI273732|6,Os01g0105500
Os01g0105700|mRNA|AK119493|CDS+3'UTR,Os01g0105700
Os01g0105800|mRNA|AK066672|CDS+3'UTR,Os01g0105800
Os01g0105900|mRNA|AK066907|CDS+3'UTR,Os01g0105900
Os01g0106200|mRNA|AK060999|CDS+3'UTR,Os01g0106200
Os01g0106300|mRNA|AK061325|CDS+3'UTR,Os01g0106300
Os01g0106300|mRNA|AK098946|CDS+3'UTR,Os01g0106300
Os01g0106300|mRNA|AK104189|CDS+3'UTR,Os01g0106300
Os01g0106300|mRNA|AK104238|CDS+3'UTR,Os01g0106300
Os01g0106300|mRNA|AK104669|CDS+3'UTR,Os01g0106300
Os01g0106300|mRNA|AK104735|CDS+3'UTR,Os01g0106300
Os01g0106300|mRNA|AK119550|CDS+3'UTR,Os01g0106300
Os01g0106400|mRNA|AK102701|CDS+3'UTR,Os01g0106400
Os01g0106400|mRNA|AK109339|CDS+3'UTR,Os01g0106400
Os01g0106400|mRNA|AY071920|CDS+3'UTR,Os01g0106400
Os01g0106500|COMBINER|CI528395|0,Os01g0106500
Os01g0106500|COMBINER|CI528395|x,Os01g0106500
Os01g0106600|mRNA|AK061314|CDS+3'UTR,Os01g0106600
Os01g0106700|COMBINER_EST|Os01g0106700|8,Os01g0106700
Os01g0106800|mRNA|AK059300|CDS+3'UTR,Os01g0106800
Os01g0106800|mRNA|AK073331|CDS+3'UTR,Os01g0106800
Os01g0106800|mRNA|AK119792|CDS+3'UTR,Os01g0106800
Os01g0106900|mRNA|AF367205|CDS+3'UTR,Os01g0106900
Os01g0106900|mRNA|AK059692|CDS+3'UTR,Os01g0106900
Os01g0106900|mRNA|AK099702|CDS+3'UTR,Os01g0106900
Os01g0107000|mRNA|AK066969|CDS+3'UTR,Os01g0107000
Os01g0107000|mRNA|AK105067|CDS+3'UTR,Os01g0107000
Os01g0107300|mRNA|AK059460|5'UTR+CDS,Os01g0107300
Os01g0107400|COMBINER_EST|CI554480|0,Os01g0107400
Os01g0107700|mRNA|AK070027|CDS+3'UTR,Os01g0107700
Os01g0107900|mRNA|AK058708|CDS+3'UTR,Os01g0107900
Os01g0107900|mRNA|AK070363|CDS+3'UTR,Os01g0107900
Os01g0108000|mRNA|AK100813|CDS+3'UTR,Os01g0108000
Os01g0108200|mRNA|AK071405|CDS+3'UTR,Os01g0108200
Os01g0108200|mRNA|AK101672|5'UTR+CDS,Os01g0108200
Os01g0108400|COMBINER_EST|AU096466|7,Os01g0108400
Os01g0108500|COMBINER|CI356984|2,Os01g0108500
Os01g0108600|mRNA|AK070332|CDS+3'UTR,Os01g0108600
Os01g0108600|mRNA|AK109432|CDS+3'UTR,Os01g0108600
Os01g0108700|mRNA|AK111316|CDS+3'UTR,Os01g0108700
Os01g0108800|mRNA|AK102103|CDS+3'UTR,Os01g0108800
Os01g0109000|mRNA|AK120074|CDS+3'UTR,Os01g0109000
Os01g0109300|COMBINER_EST|CI312116|0,Os01g0109300
Os01g0109500|mRNA|AK058636|CDS+3'UTR,Os01g0109500
Os01g0109700|mRNA|AK121497|CDS+3'UTR,Os01g0109700
Os01g0109700|mRNA|AY224549|CDS,Os01g0109700
Os01g0110100|COMBINER|CI532153|0,Os01g0110100
