Gene,Gene Set Name,Category
LOC_Os01g06660,Glycolysis / Gluconeogenesis,KEGG
LOC_Os01g16960,Glycolysis / Gluconeogenesis,KEGG
LOC_Os01g52450,Glycolysis / Gluconeogenesis,KEGG
LOC_Os01g67860,Glycolysis / Gluconeogenesis,KEGG
LOC_Os01g64660,Glycolysis / Gluconeogenesis,KEGG
LOC_Os01g05490,Glycolysis / Gluconeogenesis,KEGG
LOC_Os01g02880,Glycolysis / Gluconeogenesis,KEGG
LOC_Os01g71320,Glycolysis / Gluconeogenesis,KEGG
LOC_Os01g53930,Glycolysis / Gluconeogenesis,KEGG
LOC_Os01g09460,Glycolysis / Gluconeogenesis,KEGG
LOC_Os01g23610,Glycolysis / Gluconeogenesis,KEGG
LOC_Os01g22520,Glycolysis / Gluconeogenesis,KEGG
LOC_Os01g46950,Glycolysis / Gluconeogenesis,KEGG
LOC_Os01g47080,Glycolysis / Gluconeogenesis,KEGG
LOC_Os01g09570,Glycolysis / Gluconeogenesis,KEGG
LOC_Os01g62420,Glycolysis / Gluconeogenesis,KEGG
LOC_Os01g60190,Glycolysis / Gluconeogenesis,KEGG
LOC_Os02g01500,Glycolysis / Gluconeogenesis,KEGG
LOC_Os02g01510,Glycolysis / Gluconeogenesis,KEGG
LOC_Os02g07260,Glycolysis / Gluconeogenesis,KEGG
LOC_Os02g07490,Glycolysis / Gluconeogenesis,KEGG
LOC_Os02g32490,Glycolysis / Gluconeogenesis,KEGG
LOC_Os02g36600,Glycolysis / Gluconeogenesis,KEGG
LOC_Os02g38920,Glycolysis / Gluconeogenesis,KEGG
LOC_Os02g42520,Glycolysis / Gluconeogenesis,KEGG
LOC_Os02g43194,Glycolysis / Gluconeogenesis,KEGG
LOC_Os02g43280,Glycolysis / Gluconeogenesis,KEGG
LOC_Os02g49720,Glycolysis / Gluconeogenesis,KEGG
LOC_Os02g50620,Glycolysis / Gluconeogenesis,KEGG
LOC_Os02g51590,Glycolysis / Gluconeogenesis,KEGG
LOC_Os02g57040,Glycolysis / Gluconeogenesis,KEGG
LOC_Os03g08999,Glycolysis / Gluconeogenesis,KEGG
LOC_Os03g09020,Glycolysis / Gluconeogenesis,KEGG
LOC_Os03g14450,Glycolysis / Gluconeogenesis,KEGG
LOC_Os03g15050,Glycolysis / Gluconeogenesis,KEGG
LOC_Os03g15950,Glycolysis / Gluconeogenesis,KEGG
LOC_Os03g16050,Glycolysis / Gluconeogenesis,KEGG
LOC_Os03g18220,Glycolysis / Gluconeogenesis,KEGG
LOC_Os03g21260,Glycolysis / Gluconeogenesis,KEGG
LOC_Os03g26430,Glycolysis / Gluconeogenesis,KEGG
LOC_Os03g44300,Glycolysis / Gluconeogenesis,KEGG
LOC_Os03g46910,Glycolysis / Gluconeogenesis,KEGG
LOC_Os03g50480,Glycolysis / Gluconeogenesis,KEGG
LOC_Os03g54240,Glycolysis / Gluconeogenesis,KEGG
LOC_Os03g56460,Glycolysis / Gluconeogenesis,KEGG
LOC_Os04g02900,Glycolysis / Gluconeogenesis,KEGG
LOC_Os04g33190,Glycolysis / Gluconeogenesis,KEGG
LOC_Os04g38530,Glycolysis / Gluconeogenesis,KEGG
LOC_Os04g38540,Glycolysis / Gluconeogenesis,KEGG
LOC_Os04g39420,Glycolysis / Gluconeogenesis,KEGG
LOC_Os04g40950,Glycolysis / Gluconeogenesis,KEGG
LOC_Os04g45720,Glycolysis / Gluconeogenesis,KEGG
LOC_Os04g56290,Glycolysis / Gluconeogenesis,KEGG
LOC_Os04g58110,Glycolysis / Gluconeogenesis,KEGG
LOC_Os05g06460,Glycolysis / Gluconeogenesis,KEGG
LOC_Os05g09500,Glycolysis / Gluconeogenesis,KEGG
LOC_Os05g33380,Glycolysis / Gluconeogenesis,KEGG
LOC_Os05g36270,Glycolysis / Gluconeogenesis,KEGG
LOC_Os05g38230,Glycolysis / Gluconeogenesis,KEGG
LOC_Os05g39310,Glycolysis / Gluconeogenesis,KEGG
LOC_Os05g39320,Glycolysis / Gluconeogenesis,KEGG
LOC_Os05g40420,Glycolysis / Gluconeogenesis,KEGG
LOC_Os05g44760,Glycolysis / Gluconeogenesis,KEGG
LOC_Os05g44922,Glycolysis / Gluconeogenesis,KEGG
LOC_Os05g45590,Glycolysis / Gluconeogenesis,KEGG
LOC_Os06g01590,Glycolysis / Gluconeogenesis,KEGG
LOC_Os06g01630,Glycolysis / Gluconeogenesis,KEGG
LOC_Os06g04510,Glycolysis / Gluconeogenesis,KEGG
LOC_Os06g13720,Glycolysis / Gluconeogenesis,KEGG
LOC_Os06g14510,Glycolysis / Gluconeogenesis,KEGG
LOC_Os06g15990,Glycolysis / Gluconeogenesis,KEGG
LOC_Os06g30460,Glycolysis / Gluconeogenesis,KEGG
LOC_Os06g40640,Glycolysis / Gluconeogenesis,KEGG
LOC_Os06g45370,Glycolysis / Gluconeogenesis,KEGG
LOC_Os06g45590,Glycolysis / Gluconeogenesis,KEGG
LOC_Os06g45710,Glycolysis / Gluconeogenesis,KEGG
LOC_Os07g08340,Glycolysis / Gluconeogenesis,KEGG
LOC_Os07g09890,Glycolysis / Gluconeogenesis,KEGG
LOC_Os07g22720,Glycolysis / Gluconeogenesis,KEGG
LOC_Os07g26540,Glycolysis / Gluconeogenesis,KEGG
