"","Gene.set.name","Category"
"1","De Novo Imp Biosynthetic Process","BP"
"2","De Novo Pyrimidine Nucleobase Biosynthetic Process","BP"
"3","(1-3)-Beta-D-Glucan Biosynthetic Process","BP"
"4","(1-3)-Beta-D-Glucan Metabolic Process","BP"
"5","2-Deoxyribonucleotide Biosynthetic Process","BP"
"6","2-Deoxyribonucleotide Metabolic Process","BP"
"7","7-Methylguanosine Biosynthetic Process","BP"
"8","7-Methylguanosine Metabolic Process","BP"
"9","7-Methylguanosine Mrna Capping","BP"
"10","7-Methylguanosine Rna Capping","BP"
"11","Acetyl-Coa Catabolic Process","BP"
"12","Acetyl-Coa Metabolic Process","BP"
"13","Actin Cytoskeleton Organization","BP"
"14","Actin Filament-Based Process","BP"
"15","Actin Filament Organization","BP"
"16","Actin Filament Polymerization","BP"
"17","Actin Polymerization Or Depolymerization","BP"
"18","Activation Of Protein Kinase Activity","BP"
"19","Acute Inflammatory Response","BP"
"20","Acute Inflammatory Response To Antigenic Stimulus","BP"
"21","Acyl-Coa Metabolic Process","BP"
"22","Adaptive Immune Response","BP"
"23","Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains","BP"
"24","Adenine Biosynthetic Process","BP"
"25","Adenine Metabolic Process","BP"
"26","Adenine Salvage","BP"
"27","Aerobic Respiration","BP"
"28","Alanyl-Trna Aminoacylation","BP"
"29","Alcohol Biosynthetic Process","BP"
"30","Alcohol Catabolic Process","BP"
"31","Alcohol Metabolic Process","BP"
"32","Alditol Catabolic Process","BP"
"33","Alditol Metabolic Process","BP"
"34","Alkaloid Metabolic Process","BP"
"35","Alkane Biosynthetic Process","BP"
"36","Alkene Biosynthetic Process","BP"
"37","Amide Biosynthetic Process","BP"
"38","Amine Biosynthetic Process","BP"
"39","Amine Catabolic Process","BP"
"40","Amine Metabolic Process","BP"
"41","Amine Transport","BP"
"42","Aminoglycan Biosynthetic Process","BP"
"43","Aminoglycan Catabolic Process","BP"
"44","Aminoglycan Metabolic Process","BP"
"45","Amino Acid Activation","BP"
"46","Amino Acid Transport","BP"
"47","Anaerobic Respiration","BP"
"48","Anatomical Structure Development","BP"
"49","Anatomical Structure Formation Involved In Morphogenesis","BP"
"50","Anatomical Structure Homeostasis","BP"
"51","Anatomical Structure Morphogenesis","BP"
"52","Anion Transport","BP"
"53","Antibiotic Biosynthetic Process","BP"
"54","Antibiotic Catabolic Process","BP"
"55","Antibiotic Metabolic Process","BP"
"56","Antibiotic Transport","BP"
"57","Antigen Processing And Presentation","BP"
"58","Apoptotic Process","BP"
"59","Arabinose Metabolic Process","BP"
"60","Arf Protein Signal Transduction","BP"
"61","Arginine Biosynthetic Process","BP"
"62","Arginine Biosynthetic Process Via Ornithine","BP"
"63","Arginine Catabolic Process","BP"
